id,x1,x2,y
1,134,503,141
2,78,687,400
3,470,767,962
4,858,703,759
5,745,937,420
6,134,989,869
7,939,899,125
8,35,367,83
9,706,500,261
10,140,901,932
11,179,879,26
12,418,397,136
13,801,844,381
14,896,711,241
15,427,538,365
16,690,230,981
17,506,808,1000
18,143,492,360
19,223,666,348
20,547,783,546
21,691,898,929
22,533,546,688
23,509,863,697
24,78,671,236
25,223,286,497
26,701,428,395
27,537,312,253
28,629,791,27
29,213,963,687
30,859,527,264
31,657,984,825
32,591,527,981
33,345,837,606
34,634,644,713
35,827,298,102
36,78,708,407
37,614,641,960
38,289,347,438
39,441,789,198
40,956,879,93
41,840,845,162
42,248,765,952
43,249,964,538
44,891,257,905
45,699,614,682
46,847,895,813
47,605,774,428
48,351,429,50
49,950,597,534
50,121,246,636
51,548,370,767
52,107,250,998
53,775,770,83
54,769,385,408
55,674,553,742
56,410,917,174
57,672,507,169
58,626,315,929
59,444,351,819
60,534,759,116
61,646,332,290
62,465,308,218
63,658,375,847
64,51,689,990
65,694,608,842
66,649,207,152
67,313,707,928
68,568,206,405
69,443,899,141
70,162,233,216
71,895,960,609
72,536,239,585
73,623,536,919
74,657,540,460
75,438,328,765
76,714,264,945
77,0,737,868
78,19,430,843
79,890,691,635
80,70,779,300
81,32,275,466
82,346,480,934
83,228,892,590
84,215,910,282
85,923,338,330
86,93,911,399
87,306,514,347
88,440,717,513
89,927,872,520
90,137,828,748
91,794,551,365
92,777,254,223
93,55,382,99
94,997,740,357
95,697,987,873
96,789,406,448
97,14,313,66
98,33,484,844
99,662,861,924
100,291,492,588
101,296,764,654
102,326,486,64
103,975,996,392
104,310,601,826
105,1000,533,835
106,989,246,196
107,404,523,127
108,286,485,346
109,70,399,632
110,403,904,708
111,394,772,567
112,913,673,895
113,116,281,831
114,531,923,91
115,331,861,189
116,218,408,656
117,278,660,675
118,141,278,922
119,77,339,909
120,115,628,848
121,888,727,821
122,74,435,669
123,144,700,448
124,313,440,223
125,683,515,947
